Year,Region,Crop_Type,Season,Price_per_kg
2000,Bayelsa,Yam,Dry,119.30439040285873
2000,Bayelsa,Sorghum,Dry,232.54117486130662
2000,Bayelsa,Millet,Dry,133.5268576265616
2000,Bayelsa,Groundnut,Dry,150.06394192961758
2000,Bayelsa,Beans,Dry,143.50221611542858
2000,Benue,Maize,Wet,113.10936703215441
2000,Benue,Cassava,Wet,157.33444357335782
2000,Benue,Rice,Wet,169.14913498562683
2000,Benue,Yam,Wet,109.5877594882726
2000,Benue,Sorghum,Wet,136.27184081041673
2000,Benue,Millet,Wet,163.51466655490412
2000,Benue,Groundnut,Wet,131.2662637939866
2000,Benue,Beans,Wet,171.5084131504026
2000,Benue,Maize,Dry,129.76070469223268
2000,Benue,Cassava,Dry,153.61354177657512
2000,Benue,Rice,Dry,214.67710128135425
2000,Benue,Yam,Dry,153.52295808020662
2000,Benue,Sorghum,Dry,218.21428596223112
2000,Benue,Millet,Dry,124.58211928041048
2000,Benue,Groundnut,Dry,157.06650493410416
2000,Benue,Beans,Dry,136.1669101793243
2000,Borno,Maize,Wet,87.941528969639
2000,Borno,Cassava,Wet,124.2919835305294
2000,Borno,Rice,Wet,149.91887826680122
2000,Borno,Yam,Wet,114.24008158624052
2000,Borno,Sorghum,Wet,113.78151051027737
2000,Borno,Millet,Wet,121.87605237455782
2000,Borno,Groundnut,Wet,110.36829526704486
2000,Borno,Beans,Wet,112.55442561766496
2000,Borno,Maize,Dry,160.23424684817587
2000,Borno,Cassava,Dry,181.46139046785623
2000,Borno,Rice,Dry,203.4737052406405
2000,Borno,Yam,Dry,158.30593855618042
2000,Borno,Sorghum,Dry,141.70231376796764
2000,Borno,Millet,Dry,128.55500457971098
2000,Borno,Groundnut,Dry,177.15695857280036
2000,Borno,Beans,Dry,150.55866383234405
2000,Cross River,Maize,Wet,119.15987557826566
2000,Cross River,Cassava,Wet,160.83418263099853
2000,Cross River,Rice,Wet,185.98469531197674
2000,Cross River,Yam,Wet,133.85856504507237
2000,Cross River,Sorghum,Wet,140.49732244621185
2000,Cross River,Millet,Wet,150.8260255906998
2000,Cross River,Groundnut,Wet,103.20003325483694
2000,Cross River,Beans,Wet,120.5636020660333
2000,Cross River,Maize,Dry,113.79179730860228
2000,Cross River,Cassava,Dry,150.99492915485317
2000,Cross River,Rice,Dry,181.11796370235623
2000,Cross River,Yam,Dry,129.87531292797377
2000,Cross River,Sorghum,Dry,187.54993824093665
2000,Cross River,Millet,Dry,181.79804495264878
2000,Cross River,Groundnut,Dry,134.66318686420323
2000,Cross River,Beans,Dry,182.57799797026814
2000,Delta,Maize,Wet,116.19739314859568
2000,Delta,Cassava,Wet,151.30506847953922
2000,Delta,Rice,Wet,188.46903335922724
2000,Delta,Yam,Wet,121.4891438640263
2000,Delta,Sorghum,Wet,119.93390965616233
2000,Delta,Millet,Wet,160.62001630692376
2000,Delta,Groundnut,Wet,111.12471286507477
2000,Delta,Beans,Wet,178.27673380044138
2000,Delta,Maize,Dry,148.3310843601413
2000,Delta,Cassava,Dry,165.7259596375326
2000,Delta,Rice,Dry,180.87367724348866
2000,Delta,Yam,Dry,162.12206753237157
2000,Delta,Sorghum,Dry,192.87043252212192
2000,Delta,Millet,Dry,170.7106863742345
2000,Delta,Groundnut,Dry,192.91353180801485
2000,Delta,Beans,Dry,176.0319783332747
2000,Ebonyi,Maize,Wet,83.65853520712069
2000,Ebonyi,Cassava,Wet,129.74338855422081
2000,Ebonyi,Rice,Wet,154.33377990048348
2000,Ebonyi,Yam,Wet,115.98378374320248
2000,Ebonyi,Sorghum,Wet,156.98527924094032
2000,Ebonyi,Millet,Wet,148.39181934114146
2000,Ebonyi,Groundnut,Wet,155.07463204089328
2000,Ebonyi,Beans,Wet,164.34684247085883
2000,Ebonyi,Maize,Dry,129.8290607536597
2000,Ebonyi,Cassava,Dry,179.0696613826819
2000,Ebonyi,Rice,Dry,186.27640533707503
2000,Ebonyi,Yam,Dry,145.51933237829013
2000,Ebonyi,Sorghum,Dry,179.80652288973403
2000,Ebonyi,Millet,Dry,165.25594142857477
2000,Ebonyi,Groundnut,Dry,163.26003460435643
2000,Ebonyi,Beans,Dry,221.78781943818467
2000,Edo,Maize,Wet,89.20784440786726
2000,Edo,Cassava,Wet,139.51514516641592
2000,Edo,Rice,Wet,176.23158622265942
2000,Edo,Yam,Wet,93.11748601152273
2000,Edo,Sorghum,Wet,132.04994148978128
2000,Edo,Millet,Wet,158.26292492830146
2000,Edo,Groundnut,Wet,173.47935767181275
2000,Edo,Beans,Wet,112.42079423496757
2000,Edo,Maize,Dry,104.7917839274599
2000,Edo,Cassava,Dry,112.86009659235975
2000,Edo,Rice,Dry,206.06631372023907
2000,Edo,Yam,Dry,163.12906770576282
2000,Edo,Sorghum,Dry,158.54051262125225
2000,Edo,Millet,Dry,152.2796137615063
2000,Edo,Groundnut,Dry,189.17363598982064
2000,Edo,Beans,Dry,171.7373614757128
2000,Ekiti,Maize,Wet,187.63063360194917
2000,Ekiti,Cassava,Wet,108.69862053801808
2000,Ekiti,Rice,Wet,165.49483190717572
2000,Ekiti,Yam,Wet,131.73120978826063
2000,Ekiti,Sorghum,Wet,135.48781945129554
2000,Ekiti,Millet,Wet,170.74907103380093
2000,Ekiti,Groundnut,Wet,137.54774777040572
2000,Ekiti,Beans,Wet,113.78305400112224
2000,Ekiti,Maize,Dry,113.80057573425155
2000,Ekiti,Cassava,Dry,186.90888876291098
2000,Ekiti,Rice,Dry,185.06365283405293
2000,Ekiti,Yam,Dry,102.22975297954778
2000,Ekiti,Sorghum,Dry,167.96191601449055
2000,Ekiti,Millet,Dry,155.868195864733
2000,Ekiti,Groundnut,Dry,139.85298088127274
2000,Ekiti,Beans,Dry,176.16480687701755
2000,Enugu,Maize,Wet,112.65084075294003
2000,Enugu,Cassava,Wet,154.2302673442617
2000,Enugu,Rice,Wet,184.6536382692481
2000,Enugu,Yam,Wet,106.44804030022658
2000,Enugu,Sorghum,Wet,146.1296645984269
2000,Enugu,Millet,Wet,123.59261928834533
2000,Enugu,Groundnut,Wet,127.59259587830869
2000,Enugu,Beans,Wet,129.53217646831882
2000,Enugu,Maize,Dry,106.89623481711769
2000,Enugu,Cassava,Dry,133.40458464928602
2000,Enugu,Rice,Dry,178.9336588959168
2000,Enugu,Yam,Dry,133.41423671692058
2000,Enugu,Sorghum,Dry,158.0589758751103
2000,Enugu,Millet,Dry,183.053878627524
2000,Enugu,Groundnut,Dry,165.94952360945123
2000,Enugu,Beans,Dry,210.56125312121748
2000,Gombe,Maize,Wet,96.86394712706996
2000,Gombe,Cassava,Wet,151.68488433940507
2000,Gombe,Rice,Wet,162.61545547362982
2000,Gombe,Yam,Wet,188.2154548691891
2000,Gombe,Sorghum,Wet,109.35430728379805
2000,Gombe,Millet,Wet,123.8388109062552
2000,Gombe,Groundnut,Wet,156.60410886303728
2000,Gombe,Beans,Wet,189.66935481900293
2000,Gombe,Maize,Dry,133.70465238466403
2000,Gombe,Cassava,Dry,166.08238230380948
2000,Gombe,Rice,Dry,188.61164912247645
2000,Gombe,Yam,Dry,114.46552089148517
2000,Gombe,Sorghum,Dry,135.70026376161752
2000,Gombe,Millet,Dry,170.23648067062976
2000,Gombe,Groundnut,Dry,133.07823573782557
2000,Gombe,Beans,Dry,162.02714075994237
2000,Imo,Maize,Wet,106.8822163516492
2000,Imo,Cassava,Wet,153.28655694583745
2000,Imo,Rice,Wet,193.36335222313681
2000,Imo,Yam,Wet,96.51161537737306
2000,Imo,Sorghum,Wet,136.68447011613068
2000,Imo,Millet,Wet,142.78487759485424
2000,Imo,Groundnut,Wet,144.14387269147878
2000,Imo,Beans,Wet,159.16511139322438
2000,Imo,Maize,Dry,87.62481613665658
2000,Imo,Cassava,Dry,163.94468176172606
2000,Imo,Rice,Dry,179.17036454593745
2000,Imo,Yam,Dry,171.53289490091504
2000,Imo,Sorghum,Dry,172.7369018385881
2000,Imo,Millet,Dry,115.81681717356065
2000,Imo,Groundnut,Dry,109.05206786035606
2000,Imo,Beans,Dry,137.47287178825897
2000,Jigawa,Maize,Wet,131.14019695818263
2000,Jigawa,Cassava,Wet,113.33763110361903
2000,Jigawa,Rice,Wet,171.1279920009231
2000,Jigawa,Yam,Wet,122.10946738857272
2000,Jigawa,Sorghum,Wet,128.34750378116405
2000,Jigawa,Millet,Wet,165.16500859241174
2000,Jigawa,Groundnut,Wet,95.55894431453913
2000,Jigawa,Beans,Wet,127.88434375388644
2000,Jigawa,Maize,Dry,107.58676925939494
2000,Jigawa,Cassava,Dry,174.95210941816546
2000,Jigawa,Rice,Dry,191.5865577090712
2000,Jigawa,Yam,Dry,142.7017385713103
2000,Jigawa,Sorghum,Dry,168.6623356096456
2000,Jigawa,Millet,Dry,178.22904892280448
2000,Jigawa,Groundnut,Dry,125.44352024970466
2000,Jigawa,Beans,Dry,171.63359693114882
2000,Kaduna,Maize,Wet,105.94608754393789
2000,Kaduna,Cassava,Wet,135.73872448209897
2000,Kaduna,Rice,Wet,143.46518408052043
2000,Kaduna,Yam,Wet,127.11634783480064
2000,Kaduna,Sorghum,Wet,125.08315857239042
2000,Kaduna,Millet,Wet,144.10069551123325
2000,Kaduna,Groundnut,Wet,143.7668012665952
2000,Kaduna,Beans,Wet,135.73683472377814
2000,Kaduna,Maize,Dry,126.92430173528216
2000,Kaduna,Cassava,Dry,176.9036207536087
2000,Kaduna,Rice,Dry,197.10781785622487
2000,Kaduna,Yam,Dry,123.48640264647172
2000,Kaduna,Sorghum,Dry,176.94492652826418
2000,Kaduna,Millet,Dry,174.4029882487133
2000,Kaduna,Groundnut,Dry,136.47991807575136
2000,Kaduna,Beans,Dry,143.74393611615037
2000,Kano,Maize,Wet,126.66674401211051
2000,Kano,Cassava,Wet,177.94623378672978
2000,Kano,Rice,Wet,202.6758537290626
2000,Kano,Yam,Wet,139.13207899835243
2000,Kano,Sorghum,Wet,155.93971772683403
2000,Kano,Millet,Wet,129.41615322337378
2000,Kano,Groundnut,Wet,146.2715733671806
2000,Kano,Beans,Wet,119.88741897398803
2000,Kano,Maize,Dry,105.23091275159757
2000,Kano,Cassava,Dry,156.08521530499283
2000,Kano,Rice,Dry,201.7453774759675
2000,Kano,Yam,Dry,156.74284570596103
2000,Kano,Sorghum,Dry,168.66115821313977
2000,Kano,Millet,Dry,183.63073158841308
2000,Kano,Groundnut,Dry,147.48009509080353
2000,Kano,Beans,Dry,130.50559610222584
2000,Katsina,Maize,Wet,105.07374897882764
2000,Katsina,Cassava,Wet,146.16639918187016
2000,Katsina,Rice,Wet,184.11660703604537
2000,Katsina,Yam,Wet,145.56308154747893
2000,Katsina,Sorghum,Wet,149.27405615021584
2000,Katsina,Millet,Wet,137.6711782647937
2000,Katsina,Groundnut,Wet,166.90833289647014
2000,Katsina,Beans,Wet,128.56672257689553
2000,Katsina,Maize,Dry,154.05826006325535
2000,Katsina,Cassava,Dry,185.29057764782635
2000,Katsina,Rice,Dry,188.31400449482757
2000,Katsina,Yam,Dry,142.01521352213734
2000,Katsina,Sorghum,Dry,170.4827110175124
2000,Katsina,Millet,Dry,153.99491406840167
2000,Katsina,Groundnut,Dry,153.49646987823584
2000,Katsina,Beans,Dry,147.6439106011492
2000,Kebbi,Maize,Wet,126.39982937868933
2000,Kebbi,Cassava,Wet,116.93468046602871
2000,Kebbi,Rice,Wet,162.08581146532617
2000,Kebbi,Yam,Wet,101.14273822572031
2000,Kebbi,Sorghum,Wet,120.75694194786601
2000,Kebbi,Millet,Wet,128.31960119272895
2000,Kebbi,Groundnut,Wet,106.36901016772234
2000,Kebbi,Beans,Wet,133.2760136117577
2000,Kebbi,Maize,Dry,114.02263536344695
2000,Kebbi,Cassava,Dry,188.15011412936087
2000,Kebbi,Rice,Dry,188.4082318822064
2000,Kebbi,Yam,Dry,131.67973135774295
2000,Kebbi,Sorghum,Dry,149.36917671508888
2000,Kebbi,Millet,Dry,127.48205623824772
2000,Kebbi,Groundnut,Dry,182.989134087034
2000,Kebbi,Beans,Dry,199.88709718065257
2000,Kogi,Maize,Wet,136.44788467730336
2000,Kogi,Cassava,Wet,150.35783167700922
2000,Kogi,Rice,Wet,195.53549234102982
2000,Kogi,Yam,Wet,118.97100195106424
2000,Kogi,Sorghum,Wet,168.83835746759374
2000,Kogi,Millet,Wet,116.41556099188789
2000,Kogi,Groundnut,Wet,148.51554194357132
2000,Kogi,Beans,Wet,108.1078258479719
2000,Kogi,Maize,Dry,120.37796248591088
2000,Kogi,Cassava,Dry,172.15295690249982
2000,Kogi,Rice,Dry,197.54340110505763
2000,Kogi,Yam,Dry,149.7640598526861
2000,Kogi,Sorghum,Dry,142.86413832645664
2000,Kogi,Millet,Dry,123.05393504434306
2000,Kogi,Groundnut,Dry,155.6199358786377
2000,Kogi,Beans,Dry,152.07802233241313
2000,Kwara,Maize,Wet,120.05748284012654
2000,Kwara,Cassava,Wet,155.47962066725503
2000,Kwara,Rice,Wet,210.4889140655469
2000,Kwara,Yam,Wet,100.388733336812
2000,Kwara,Sorghum,Wet,137.94100727563432
2000,Kwara,Millet,Wet,153.96045459698428
2000,Kwara,Groundnut,Wet,108.79756057830429
2000,Kwara,Beans,Wet,177.3268094447894
2000,Kwara,Maize,Dry,135.874613396044
2000,Kwara,Cassava,Dry,142.82841839728127
2000,Kwara,Rice,Dry,215.3320622621202
2000,Kwara,Yam,Dry,145.39855560266207
2000,Kwara,Sorghum,Dry,187.44848447125344
2000,Kwara,Millet,Dry,140.34882232409495
2000,Kwara,Groundnut,Dry,180.12381620792831
2000,Kwara,Beans,Dry,124.867379440573
2000,Lagos,Maize,Wet,105.9823710599681
2000,Lagos,Cassava,Wet,124.3171469925226
2000,Lagos,Rice,Wet,188.35374761169996
2000,Lagos,Yam,Wet,146.61884318665477
2000,Lagos,Sorghum,Wet,156.09931582589235
2000,Lagos,Millet,Wet,161.56014842653792
2000,Lagos,Groundnut,Wet,120.61878291646235
2000,Lagos,Beans,Wet,137.91604998425566
2000,Lagos,Maize,Dry,128.35238934077609
2000,Lagos,Cassava,Dry,173.14162755602405
2000,Lagos,Rice,Dry,219.93539016239515
2000,Lagos,Yam,Dry,154.3683098920688
2000,Lagos,Sorghum,Dry,153.30368320296088
2000,Lagos,Millet,Dry,150.1464600243259
2000,Lagos,Groundnut,Dry,143.61927405339705
2000,Lagos,Beans,Dry,178.26228471597972
2000,Nasarawa,Maize,Wet,109.92344398057125
2000,Nasarawa,Cassava,Wet,125.39095291249599
2000,Nasarawa,Rice,Wet,186.46156983512643
2000,Nasarawa,Yam,Wet,123.96844065896225
2000,Nasarawa,Sorghum,Wet,139.00476227391
2000,Nasarawa,Millet,Wet,140.72762038035899
2000,Nasarawa,Groundnut,Wet,153.50494950469954
2000,Nasarawa,Beans,Wet,118.63074727101542
2000,Nasarawa,Maize,Dry,147.93187071740334
2000,Nasarawa,Cassava,Dry,193.80657298973648
2000,Nasarawa,Rice,Dry,188.8005168647297
2000,Nasarawa,Yam,Dry,111.18947442988411
2000,Nasarawa,Sorghum,Dry,153.1783855560123
2000,Nasarawa,Millet,Dry,176.79428151717798
2000,Nasarawa,Groundnut,Dry,171.06203062747116
2000,Nasarawa,Beans,Dry,179.75891943700947
2000,Niger,Maize,Wet,134.79148565458783
2000,Niger,Cassava,Wet,173.11492675129165
2000,Niger,Rice,Wet,177.9077053710762
2000,Niger,Yam,Wet,116.5767952304349
2000,Niger,Sorghum,Wet,136.82291204384637
2000,Niger,Millet,Wet,140.41760675565968
2000,Niger,Groundnut,Wet,128.46931243091686
2000,Niger,Beans,Wet,108.26541997242313
2000,Niger,Maize,Dry,149.49553546516717
2000,Niger,Cassava,Dry,172.00824029124936
2000,Niger,Rice,Dry,175.41304311535
2000,Niger,Yam,Dry,126.63072138490243
2000,Niger,Sorghum,Dry,176.70037643108165
2000,Niger,Millet,Dry,153.24971491359852
2000,Niger,Groundnut,Dry,170.46603497912594
2000,Niger,Beans,Dry,160.6322904612228
2000,Ogun,Maize,Wet,88.9476589374648
2000,Ogun,Cassava,Wet,133.94245097771548
2000,Ogun,Rice,Wet,164.3072856757401
2000,Ogun,Yam,Wet,132.82018852739512
2000,Ogun,Sorghum,Wet,134.26701941527236
2000,Ogun,Millet,Wet,140.54805165391156
2000,Ogun,Groundnut,Wet,132.68166215686654
2000,Ogun,Beans,Wet,149.6500197195808
2000,Ogun,Maize,Dry,123.69278735848887
2000,Ogun,Cassava,Dry,150.94058556256644
2000,Ogun,Rice,Dry,200.02417219858015
2000,Ogun,Yam,Dry,137.58169911650427
2000,Ogun,Sorghum,Dry,134.40092771291842
2000,Ogun,Millet,Dry,170.96018952114787
2000,Ogun,Groundnut,Dry,167.21601225208968
2000,Ogun,Beans,Dry,128.98440031431304
2000,Ondo,Maize,Wet,106.3553035177075
2000,Ondo,Cassava,Wet,142.15499841492883
2000,Ondo,Rice,Wet,170.87054803358507
2000,Ondo,Yam,Wet,151.1587519967042
2000,Ondo,Sorghum,Wet,157.21980639420138
2000,Ondo,Millet,Wet,130.0047595281199
2000,Ondo,Groundnut,Wet,130.90340291086602
2000,Ondo,Beans,Wet,128.90267486762852
2000,Ondo,Maize,Dry,92.58620526623871
2000,Ondo,Cassava,Dry,133.04787269740882
2000,Ondo,Rice,Dry,169.29698832322558
2000,Ondo,Yam,Dry,141.2410636427377
2000,Ondo,Sorghum,Dry,201.63636587477703
2000,Ondo,Millet,Dry,151.78356694306086
2000,Ondo,Groundnut,Dry,158.74210085755072
2000,Ondo,Beans,Dry,141.5570953294165
2000,Osun,Maize,Wet,108.4677347912019
2000,Osun,Cassava,Wet,147.47409764644053
2000,Osun,Rice,Wet,155.2966773108705
2000,Osun,Yam,Wet,104.86332285317556
2000,Osun,Sorghum,Wet,103.24093828542999
2000,Osun,Millet,Wet,104.37952379829477
2000,Osun,Groundnut,Wet,175.0353316812559
2000,Osun,Beans,Wet,159.61915700044347
2000,Osun,Maize,Dry,151.17153242409861
2000,Osun,Cassava,Dry,107.0750551158683
2000,Osun,Rice,Dry,218.69272015676262
2000,Osun,Yam,Dry,143.394137633932
2000,Osun,Sorghum,Dry,116.65540703005752
2000,Osun,Millet,Dry,172.01181531536807
2000,Osun,Groundnut,Dry,136.448528578247
2000,Osun,Beans,Dry,139.24379973499745
2000,Oyo,Maize,Wet,106.60235758091648
2000,Oyo,Cassava,Wet,170.13341228985604
2000,Oyo,Rice,Wet,192.75222059158847
2000,Oyo,Yam,Wet,125.5523814975499
2000,Oyo,Sorghum,Wet,150.56876382398755
2000,Oyo,Millet,Wet,144.55639810629378
2000,Oyo,Groundnut,Wet,121.13851349568719
2000,Oyo,Beans,Wet,119.25136747405159
2000,Oyo,Maize,Dry,108.54880225939422
2000,Oyo,Cassava,Dry,149.87622241676888
2000,Oyo,Rice,Dry,180.43802137131058
2000,Oyo,Yam,Dry,161.08948261531236
2000,Oyo,Sorghum,Dry,172.52890089003154
2000,Oyo,Millet,Dry,157.95641186683602
2000,Oyo,Groundnut,Dry,163.3403686007049
2000,Oyo,Beans,Dry,189.79525852704762
2000,Plateau,Maize,Wet,114.55902784015153
2000,Plateau,Cassava,Wet,155.6236752917447
2000,Plateau,Rice,Wet,174.61758283896668
2000,Plateau,Yam,Wet,144.0921161996394
2000,Plateau,Sorghum,Wet,132.12586035722353
2000,Plateau,Millet,Wet,120.87469163075134
2000,Plateau,Groundnut,Wet,146.6711413389301
2000,Plateau,Beans,Wet,196.28313451190874
2000,Plateau,Maize,Dry,144.7485905653938
2000,Plateau,Cassava,Dry,168.70723177482643
2000,Plateau,Rice,Dry,229.15494056284635
2000,Plateau,Yam,Dry,139.92608078842716
2000,Plateau,Sorghum,Dry,175.53157289453526
2000,Plateau,Millet,Dry,190.57779654789627
2000,Plateau,Groundnut,Dry,128.821673360697
2000,Plateau,Beans,Dry,136.4321818905987
2000,Rivers,Maize,Wet,115.31763758714258
2000,Rivers,Cassava,Wet,134.86747095549495
2000,Rivers,Rice,Wet,188.36710864910938
2000,Rivers,Yam,Wet,144.60771974732683
2000,Rivers,Sorghum,Wet,166.4977702077847
2000,Rivers,Millet,Wet,141.60299371488125
2000,Rivers,Groundnut,Wet,181.7923060630464
2000,Rivers,Beans,Wet,125.57695811464922
2000,Rivers,Maize,Dry,126.03233802186432
2000,Rivers,Cassava,Dry,157.97833539740571
2000,Rivers,Rice,Dry,226.25613510734917
2000,Rivers,Yam,Dry,198.42416916962907
2000,Rivers,Sorghum,Dry,160.9602916323596
2000,Rivers,Millet,Dry,139.15575191888666
2000,Rivers,Groundnut,Dry,136.4953884210197
2000,Rivers,Beans,Dry,173.76261541570915
2000,Sokoto,Maize,Wet,162.14698844939176
2000,Sokoto,Cassava,Wet,162.34796325467485
2000,Sokoto,Rice,Wet,158.39140596069075
2000,Sokoto,Yam,Wet,138.3934547835575
2000,Sokoto,Sorghum,Wet,173.4972100114711
2000,Sokoto,Millet,Wet,151.98856481134672
2000,Sokoto,Groundnut,Wet,132.73836626788136
2000,Sokoto,Beans,Wet,146.9333312002217
2000,Sokoto,Maize,Dry,124.16628359273365
2000,Sokoto,Cassava,Dry,172.0527830516353
2000,Sokoto,Rice,Dry,171.1645048970578
2000,Sokoto,Yam,Dry,149.84100834467222
2000,Sokoto,Sorghum,Dry,188.2879385289267
2000,Sokoto,Millet,Dry,197.62905292359557
2000,Sokoto,Groundnut,Dry,178.8618100710988
2000,Sokoto,Beans,Dry,186.72711673786944
2000,Taraba,Maize,Wet,99.57616452379503
2000,Taraba,Cassava,Wet,162.6937136877857
2000,Taraba,Rice,Wet,166.5561969892481
2000,Taraba,Yam,Wet,129.9950297429248
2000,Taraba,Sorghum,Wet,146.45633097350793
2000,Taraba,Millet,Wet,138.39914480482298
2000,Taraba,Groundnut,Wet,113.32802950018564
2000,Taraba,Beans,Wet,171.41489128491887
2000,Taraba,Maize,Dry,110.91340157346575
2000,Taraba,Cassava,Dry,164.5488776808953
2000,Taraba,Rice,Dry,189.2834733366238
2000,Taraba,Yam,Dry,144.14060064034436
2000,Taraba,Sorghum,Dry,143.05648554177048
2000,Taraba,Millet,Dry,172.19177572098923
2000,Taraba,Groundnut,Dry,138.89095471412452
2000,Taraba,Beans,Dry,150.05707524831385
2000,Yobe,Maize,Wet,125.47575788873421
2000,Yobe,Cassava,Wet,109.19485228891034
2000,Yobe,Rice,Wet,179.36538523239346
2000,Yobe,Yam,Wet,72.01285425238711
2000,Yobe,Sorghum,Wet,134.9862893556959
2000,Yobe,Millet,Wet,112.68825656423563
2000,Yobe,Groundnut,Wet,147.6401683472086
2000,Yobe,Beans,Wet,135.77900931832033
2000,Yobe,Maize,Dry,147.84911209793347
2000,Yobe,Cassava,Dry,144.48081420752393
2000,Yobe,Rice,Dry,199.53838053998587
2000,Yobe,Yam,Dry,146.61842669789937
2000,Yobe,Sorghum,Dry,153.07401424049448
2000,Yobe,Millet,Dry,172.49745892951177
2000,Yobe,Groundnut,Dry,156.99055580772236
2000,Yobe,Beans,Dry,158.06261617042756
2000,Zamfara,Maize,Wet,89.66480697164799
